Food Name,Sugar,Fat,Sodium,class_name,subclass_name,nova
Red palm oil,,99g,0g,COOKING OIL,PALM OIL,Processed Culinary Ingredients
Shortening commercial vegetable fat,,100g,0.001g,COOKING FAT,VEGETABLE FAT,Processed Culinary Ingredients
Soya bean oil,,100g,0g,"PULSES - PEAS, LENTILS, BEANS",SOYA BEANS,Unprocessed/Minimally processed foods
Sun flower oil,,100g,0g,COOKING OIL,SUNFLOWER OIL,Processed Culinary Ingredients
Bambara groundnuts dried raw,,6g,0.002g,"PULSES - PEAS, LENTILS, BEANS",BAMBARA GROUNDNUTS,Unprocessed/Minimally processed foods
Coconut fresh mature fruit flesh,,39g,0.029g,FRUITS,COCONUT,Unprocessed/Minimally processed foods
Coconut fresh young or immature flesh,,10.8g,0.012g,FRUITS,COCONUT,Unprocessed/Minimally processed foods
Coconut meat dried (desiccated),,63.7g,0.0365g,FRUITS,COCONUT,Unprocessed/Minimally processed foods
Jack fruit seed mature dry raw,,0.6g,0.008g,FRUITS,JACKFRUIT,Unprocessed/Minimally processed foods
Mustard Seeds Dry Raw,,39.7g,0.002g,HERBS AND SPICES,SPICES - MUSTARD,Unprocessed/Minimally processed foods
Nut almond with or without skin raw unsalted,,52.8g,0.001g,SALTED/SUGARED NUTS,ALMONDS,Unprocessed/Minimally processed foods
Nut cashew dry raw unsalted,,48g,0.011g,SALTED/SUGARED NUTS,CASHEWS,Unprocessed/Minimally processed foods
Nut ground nut with skin unsalted dry raw,,48.4g,0.001g,"PULSES - PEAS, LENTILS, BEANS",RAW PEANUTS,Unprocessed/Minimally processed foods
Nut macadamia raw unsalted,,70.9g,0.005g,SALTED/SUGARED NUTS,MACADAMIA,Unprocessed/Minimally processed foods
Nut pistachio raw unsalted,,48g,0.005g,SALTED/SUGARED NUTS,PISTACHIOS,Unprocessed/Minimally processed foods
Peanut Butter,,48.4g,0.001g,"PULSES - PEAS, LENTILS, BEANS",RAW PEANUTS,Unprocessed/Minimally processed foods
Seed pumpkin hulled dried unsalted,,47.6g,0.019g,VEGETABLES,PUMPKIN,Unprocessed/Minimally processed foods
Seed sesame (sim sim) unsalted dry raw,,54.1g,0.007g,SALTED/SUGARED NUTS,SESAME SEEDS,Unprocessed/Minimally processed foods
Seed sunflower unsalted dry raw,,49.9g,0g,SALTED/SUGARED NUTS,SUNFLOWER SEEDS,Unprocessed/Minimally processed foods
Water Melon Seed Kernel Dry Raw,,47.5g,0.099g,FRUITS,WATER MELONS,Unprocessed/Minimally processed foods
Honey Raw,,0g,0.017g,HONEY,HONEY,Unprocessed/Minimally processed foods
Sugarcane Juice Raw,,0.2g,0.001g,FRESH/FRUIT JUICES - NO ADDED SUGAR,FRESH/FRUIT JUICES - NO ADDED SUGAR,Unprocessed/Minimally processed foods
Sugar white granulated or lump,,0g,0g,SUGAR,WHITE SUGAR,Processed Culinary Ingredients
Beef broth,,0.3g,0.266g,COOKING SAUCES,STOCK/BROTH,Processed foods
Coconut fresh water,,0.1g,0.005g,WATER,COCONUT WATER,Unprocessed/Minimally processed foods
Coffee instant dry powder or granules,,1g,0.083g,COFFEE,COFFEE - UNSWEETENED WITHOUT MILK,Processed foods
Drinking chocolate powder,,30.9g,0.12g,COCOA,COCOA - SWEETENED WITH MILK,Ultra-processed foods
Tea chai instant dry powder,,0g,0.072g,TEA,TEA - UNSWEETENED WITHOUT MILK,Processed foods
Water tap,,0g,0.003g,WATER,DRINKING WATER,Unprocessed/Minimally processed foods
Wine Red,,0g,0.01g,ALCOHOLIC BEVERAGES,RED WINE,Ultra-processed foods
Wine White Dry,,0g,0.014g,ALCOHOLIC BEVERAGES,WHITE WINE,Ultra-processed foods
Wine White Sweet,,0g,0.02g,ALCOHOLIC BEVERAGES,WHITE WINE,Ultra-processed foods
Anise seed,,15.9g,0.016g,HERBS AND SPICES,SPICES - ANISE,Unprocessed/Minimally processed foods
Baking powder dry powder,,0.2g,8.85g,BAKING ADDITIVES,BAKING POWDER,Processed Culinary Ingredients
Baking soda (bicarbonate) dry powder,,0g,27.4g,BAKING ADDITIVES,BAKING SODA,Processed Culinary Ingredients
Bay leaf dried,,8.4g,0.023g,HERBS AND SPICES,HERBS - BAY LEAVES,Unprocessed/Minimally processed foods
Cardamom seeds ground,,6.7g,0.018g,HERBS AND SPICES,SPICES - CARDAMON,Unprocessed/Minimally processed foods
Chilli fresh raw,,0.4g,0.003g,VEGETABLES,CHILLI (FRESH),Unprocessed/Minimally processed foods
Chilli dried,,9.9g,0.019g,HERBS AND SPICES,SPICES - CHILLIES,Unprocessed/Minimally processed foods
Cinnamon dried ground,,2.6g,0.017g,HERBS AND SPICES,SPICES - CINNAMON,Unprocessed/Minimally processed foods
Cloves dry raw,,10.4g,0.183g,HERBS AND SPICES,SPICES - CLOVES,Unprocessed/Minimally processed foods
Coconut Milk,,14.3g,0.019g,PLANT MILK,COCONUT MILK,Processed foods
Coriander Leaves fresh raw,,0.7g,0.04g,HERBS AND SPICES,HERBS - CORIANDER/DHANIA,Unprocessed/Minimally processed foods
Coriander seed dried ground,,18.8g,0.027g,HERBS AND SPICES,HERBS - CORIANDER/DHANIA,Unprocessed/Minimally processed foods
Cumin seeds dried raw,,25.8g,0.124g,HERBS AND SPICES,SPICES - CUMIN,Unprocessed/Minimally processed foods
Curry leaves fresh raw,,1.3g,0.019g,HERBS AND SPICES,HERBS - CURRY LEAVES,Unprocessed/Minimally processed foods
Curry powder,,13.8g,0.052g,HERBS AND SPICES,SPICES - CURRY POWDER,Unprocessed/Minimally processed foods
Fenugreek leaves fresh raw,,0.2g,0.066g,HERBS AND SPICES,HERBS - FENUGREEK,Unprocessed/Minimally processed foods
Fenugreek seeds raw,,6.4g,0.048g,HERBS AND SPICES,SPICES - FENUGREEK,Unprocessed/Minimally processed foods
Garam masala,,15.1g,0.097g,HERBS AND SPICES,SPICES - GARAM MASALA,Unprocessed/Minimally processed foods
Garlic peeled or unpeeled fresh raw,,2.8g,0.008g,HERBS AND SPICES,SPICES - GARLIC,Unprocessed/Minimally processed foods
Ginger dried ground,,4.5g,0.05g,HERBS AND SPICES,SPICES - GINGER,Unprocessed/Minimally processed foods
Green Ginger (Mature) fresh raw,,1.1g,0.018g,HERBS AND SPICES,SPICES - GINGER,Unprocessed/Minimally processed foods
Mint Leaves fresh raw,,1.1g,0.028g,HERBS AND SPICES,HERBS - MINT,Unprocessed/Minimally processed foods
Onion mature red skinned peeled fresh raw,,0.1g,0.005g,VEGETABLES,ONIONS,Unprocessed/Minimally processed foods
Onion spring raw,,0.3g,0.012g,VEGETABLES,ONIONS,Unprocessed/Minimally processed foods
Parsley fresh raw,,0.2g,0.054g,HERBS AND SPICES,HERBS - PARSLEY,Unprocessed/Minimally processed foods
Pepper ground black dry raw,,2.7g,0.025g,HERBS AND SPICES,SPICES - BLACK PEPPER,Unprocessed/Minimally processed foods
Salt Iodized,,0g,38.5g,SALT,TABLE SALT (IODIZED),Processed Culinary Ingredients
Spice mixed or all spice,,16.3g,0.09g,HERBS AND SPICES,SPICES - MIXED SPICES,Unprocessed/Minimally processed foods
Tamarind fruit dry raw,,0.6g,0.025g,FRUITS,TAMARIND,Unprocessed/Minimally processed foods
Tamarind fruit fresh raw,,0.2g,0.025g,FRUITS,TAMARIND,Unprocessed/Minimally processed foods
Tomato sauce (Ketchup),,0.2g,0.918g,TABLE SAUCES,TOMATO KETCHUP,Ultra-processed foods
Tomato paste with added salt,,0.3g,0.63g,TOMATO PASTE,TOMATO PASTE,Processed foods
Tomato soup condensed canned,,0.3g,0.545g,COOKING SAUCES,TOMATO SAUCE,Processed foods
Turmeric dried ground,,3.1g,0.025g,HERBS AND SPICES,SPICES - TURMERIC,Unprocessed/Minimally processed foods
Yeast dry powder,,4.9g,0.05g,BAKING ADDITIVES,YEAST,Processed Culinary Ingredients
Grasshopper Brown Fresh Raw,,12.8g,0.066g,EDIBLE INSECTS,GRASSHOPPER/LOCUST,Unprocessed/Minimally processed foods
Grasshopper Green Fresh Raw,,16.3g,0.121g,EDIBLE INSECTS,GRASSHOPPER/LOCUST,Unprocessed/Minimally processed foods
Termite Dry Raw,,43.6g,1.969g,EDIBLE INSECTS,TERMITES,Unprocessed/Minimally processed foods
Termite Fresh Raw,,27g,0.004g,EDIBLE INSECTS,TERMITES,Unprocessed/Minimally processed foods
Maize Porridge,,1.1g,0.01g,BABY FOODS - PORRIDGE FLOUR,PORRIDGE FLOUR - MAIZE,Processed foods
Sorghum Finger Millet and Maize Porridge,,0.9g,0.01g,BABY FOODS - PORRIDGE FLOUR,PORRIDGE FLOUR - MAIZE,Processed foods
Kaimati (Fried Dumplings),,21.8g,0.004g,PASTRIES,PASTRIES - DOUGHNUT,Processed foods
Mahamri (Swahili Doughnuts),,22.1g,0.004g,PASTRIES,PASTRIES - DOUGHNUT,Processed foods
Whole Maize Flour Ugali,,1.8g,0.007g,MAIZE/CORN FLOUR,MAIZE FLOUR,Unprocessed/Minimally processed foods
"""Brown"" Maize and Finger Millet Flour Ugali",,1.3g,0.006g,MAIZE/CORN FLOUR,MAIZE FLOUR,Unprocessed/Minimally processed foods
Maize Red Sorghum and Finger Millet Ugali,,1.4g,0.006g,MAIZE/CORN FLOUR,MAIZE FLOUR,Unprocessed/Minimally processed foods
Cassava and Red Sorghum Ugali,,0.8g,0.009g,CEREAL GRAINS,UGALI,Processed foods
Refined Maize Flour Ugali,,1.9g,0.008g,MAIZE/CORN FLOUR,MAIZE FLOUR,Unprocessed/Minimally processed foods
Red Sorghum Maize flour Finger Millet Ugali,,0.7g,0.005g,MAIZE/CORN FLOUR,MAIZE FLOUR,Unprocessed/Minimally processed foods
Cassava Ugali,,0.3g,0.02g,CEREAL GRAINS,UGALI,Processed foods
Cassava Millet Sorghum Porridge,,0.1g,0.006g,BABY FOODS - PORRIDGE FLOUR,PORRIDGE FLOUR - SORGHUM,Processed foods
Cassava Porridge (Uji wa Muhogo),,0g,0.005g,BABY FOODS - PORRIDGE FLOUR,PORRIDGE FLOUR - CASSAVA,Processed foods
Finger Millet Porridge (Uji wa Wimbi),,0.2g,0.004g,BABY FOODS - PORRIDGE FLOUR,PORRIDGE FLOUR - MILLET,Processed foods
Bulrush Millet Porridge (Uji wa Mawele),,1g,0.005g,BABY FOODS - PORRIDGE FLOUR,PORRIDGE FLOUR - MILLET,Processed foods
Rice Flour Porridge (Uji wa Mchele),,1.3g,0.005g,WHEAT FLOUR,RICE FLOUR,Unprocessed/Minimally processed foods
"""Omena"" (Silver Sardine Stew)",,13.3g,0.449g,PROCESSED FISH,DAGAA/OMENA,Unprocessed/Minimally processed foods
"""Busara"" (Whole Maize and Finger Millet Porridge)",,0.3g,0.004g,BABY FOODS - PORRIDGE FLOUR,PORRIDGE FLOUR - MILLET,Processed foods
White Chapati,,21.1g,0.1g,BREADS,PRE-PREPARED CHAPATI,Processed foods
Brown Chapati,,22.9g,0.12g,BREADS,PRE-PREPARED CHAPATI,Processed foods
Hard boiled eggs,,8.3g,0.15g,EGGS,EGGS,Unprocessed/Minimally processed foods
Fried Egg,,17.9g,0.717g,EGGS,EGGS,Unprocessed/Minimally processed foods
Omelette,,7.8g,0.189g,EGGS,EGGS,Unprocessed/Minimally processed foods
Spanish Omelette,,12.9g,0.409g,EGGS,EGGS,Unprocessed/Minimally processed foods
Meat Samosa,,22.2g,0.175g,FAST FOODS,SAMOSA,Processed foods
Vegetable Samosa,,13.1g,0.243g,FAST FOODS,SAMOSA,Processed foods
Pancakes,,8.5g,0.037g,PASTRIES,PANCAKES,Processed foods
Egg Toast,,10.7g,0.587g,BREADS,BROWN BREAD,Processed foods
Drop Scones,,29.8g,0.116g,PASTRIES,SCONES,Processed foods
"""Terere"" (Amaranth)",,5.3g,0.161g,BABY FOODS - PORRIDGE FLOUR,PORRIDGE FLOUR - MILLET,Unprocessed/Minimally processed foods
Sukumawiki,,3.2g,0.123g,VEGETABLES,KALES (SUKUMA WIKI),Unprocessed/Minimally processed foods
Stir fried Cabbage,,8.6g,0.51g,VEGETABLES,CABBAGE,Processed foods
Jute Mallow (Mrenda) Pumpkin Leaves,,2.3g,0.18g,VEGETABLES,JUTE MALLOW (MRENDA),Processed foods
Pumpkin Leaves,,6.7g,0.332g,VEGETABLES,MITHO (PUMPKIN LEAVES),Unprocessed/Minimally processed foods
Saget Terere Managu (Spider plant Amaranth African Nightshade),,1.9g,0.174g,VEGETABLES,SAGET (SPIDER PLANT),Unprocessed/Minimally processed foods
Pilau,,9.4g,0.349g,CEREAL GRAINS,WHITE RICE,Unprocessed/Minimally processed foods
Mseto wa Ndengu,,1.3g,0.059g,"PULSES - PEAS, LENTILS, BEANS",GREEN GRAMS,Processed foods
Mseto wa Maharagwe,,7.9g,0.356g,"PULSES - PEAS, LENTILS, BEANS",BEAN STEW,Processed foods
Vine spinach,,5.2g,0.17g,VEGETABLES,SPINACH,Processed foods
Fiqe (Red Sorghum Beans and Teff Flour),,5.8g,0.495g,CEREAL GRAINS,TEFF,Unprocessed/Minimally processed foods
Qanchibelo (Beef Maize Wheat Flour),,3.1g,0.225g,MAIZE/CORN FLOUR,MAIZE FLOUR,Unprocessed/Minimally processed foods
"Qita ""Maize wheat flour pancake""",,5.6g,0.158g,MAIZE/CORN FLOUR,MAIZE FLOUR,Unprocessed/Minimally processed foods
Gurdo Marqa (Ugali in Sour Milk),,9.6g,0.268g,CEREAL GRAINS,UGALI,Processed foods
Green Gram Stew,,4.2g,0.243g,"PULSES - PEAS, LENTILS, BEANS",GREEN GRAMS,Unprocessed/Minimally processed foods
Bean Stew,,1.4g,0.165g,"PULSES - PEAS, LENTILS, BEANS",BEAN STEW,Processed foods
Lentil Stew,,3g,0.275g,"PULSES - PEAS, LENTILS, BEANS",LENTILS,Unprocessed/Minimally processed foods
Camel Meat (Nyirinyiri),,33.6g,0.346g,PROCESSED MEAT,CAMEL,Processed foods
Mbuboyi (Blood Cooked in Fresh Milk),,2g,0.361g,MILK DRINKS,FRESH MILK,Unprocessed/Minimally processed foods
Ugali (Cassava finger millet sorghum flour),,0.6g,0.011g,CEREAL GRAINS,UGALI,Processed foods
Yam Stew,,2.4g,0.347g,ROOT VEGETABLES,YAM,Processed foods
Githeri (stewed Maize Beans),,4.2g,0.233g,CEREAL GRAINS,GITHERI (MAIZE & BEANS),Processed foods
Mukimo (Maize Beans Potatoes Pumpkin Leaves),,0.7g,0.266g,VEGETABLES,MITHO (PUMPKIN LEAVES),Unprocessed/Minimally processed foods
Githeri (Fresh Maize Beans),,7.2g,0.335g,CEREAL GRAINS,GITHERI (MAIZE & BEANS),Processed foods
Matoke (Stewed Green Bananas Meat),,4.1g,0.381g,FRUITS,GREEN BANANAS,Processed foods
Mukimo (Fresh Maize Potato Pumpkin Leaves),,1g,0.336g,VEGETABLES,MITHO (PUMPKIN LEAVES),Unprocessed/Minimally processed foods
Stewed Potatoes Arrowroots,,2.1g,0.173g,ROOT VEGETABLES,ARROWROOTS,Unprocessed/Minimally processed foods
Mukimo wa Njahi (Black Beans Green Bananas Potatoes),,0.6g,0.273g,"PULSES - PEAS, LENTILS, BEANS",BLACK BEANS (NJAHI),Processed foods
Githeri (Fresh beans and Maize),,7.6g,0.433g,CEREAL GRAINS,GITHERI (MAIZE & BEANS),Processed foods
Mashed Potato and Bananas,,8.5g,0.544g,ROOT VEGETABLES,POTATO,Processed foods
Mukimo wa Njahi (Raw Ripe Bananas),,0.6g,0.229g,"PULSES - PEAS, LENTILS, BEANS",BLACK BEANS (NJAHI),Processed foods
Groundnut Sauce,,23.4g,0.492g,COOKING SAUCES,PEANUT SAUCE,Processed foods
Vimumunya vya Chumvi (Pumpkin Coconut Milk),,4.9g,0.325g,PLANT MILK,COCONUT MILK,Processed foods
Vinolo (Banana and Maize Flour Ugali),,0.9g,0.009g,MAIZE/CORN FLOUR,MAIZE FLOUR,Unprocessed/Minimally processed foods
Biryani rice,,3.2g,0.18g,CEREAL GRAINS,WHITE RICE,Unprocessed/Minimally processed foods
Biryani stew,,14.3g,0.48g,CEREAL GRAINS,WHITE RICE,Processed foods
Vimumunya vya Sukari (Sweetened Pumpkin Coconut Milk),,3g,0.015g,PLANT MILK,COCONUT MILK,Processed foods
Wukunu (sweet potatoes dehulled black beans,,0.6g,0.229g,"PULSES - PEAS, LENTILS, BEANS",BLACK BEANS (NJAHI),Unprocessed/Minimally processed foods
Mushenye (Green Maize and Sweet Potatoes),,4.1g,0.242g,CEREAL GRAINS,MAIZE GRAIN,Unprocessed/Minimally processed foods
Ingokho (Stewed Chicken),,12.3g,0.482g,POULTRY,CHICKEN,Unprocessed/Minimally processed foods
Malesele (Cow Blood with Sour Milk) (Check),,21.2g,1.07g,ORGAN MEAT,BLOOD,Processed foods
Tsiswa (Termites),,38.8g,2.28g,EDIBLE INSECTS,TERMITES,Unprocessed/Minimally processed foods
Ingokho (Fried Chicken),,35.3g,0.932g,POULTRY,CHICKEN,Unprocessed/Minimally processed foods
Boiled Rice,,2g,0.216g,CEREAL GRAINS,WHITE RICE,Unprocessed/Minimally processed foods
Onion Fried Rice (Wali wa Yasmin),,5.1g,0.275g,CEREAL GRAINS,WHITE RICE,Unprocessed/Minimally processed foods
Stir fried Spinach,,5.4g,0.87g,VEGETABLES,SPINACH,Processed foods
Thabai Thaa (Stinging Nettle),,2.4g,0.312g,VEGETABLES,STINGING NETTLE (THABAI),Unprocessed/Minimally processed foods
Stewed Cowpea Leaves (Rhikhuvi),,13.3g,0.66g,VEGETABLES,COWPEA LEAVES (KUNDE),Processed foods
Stewed Kunde Mrenda (Cowpeas Leaves and Jute Mallow),,2g,0.761g,VEGETABLES,JUTE MALLOW (MRENDA),Processed foods
Stewed Mushrooms in Peanut Butter (Obwoba),,6.3g,0.822g,COOKING SAUCES,PEANUT SAUCE,Processed foods
Chai ya Maziwa (Mixed Tea),,1.2g,0.015g,TEA,TEA - SWEETENED WITH MILK,Processed foods
Stewed Dried Fish,,23.2g,0.572g,PROCESSED FISH,OTHER FISH,Processed foods
Kimanga (Smoked Green Bananas and Kidney Beans),,0.9g,0.485g,ROOT VEGETABLES,SWEET POTATO,Processed foods
Mashed Cassava and Pigeon Peas,,0.6g,0.303g,ROOT VEGETABLES,CASSAVA,Processed foods
Ndoto (Red Kidney Beans Red Sorghum),,7.9g,0.27g,"PULSES - PEAS, LENTILS, BEANS",KIDNEY BEANS,Unprocessed/Minimally processed foods
Muthokoi (Dehusked Maize and Beans),,5.9g,0.325g,MAIZE/CORN FLOUR,MAIZE FLOUR,Unprocessed/Minimally processed foods
Beef Stew,,10.4g,0.315g,PROCESSED MEAT,BEEF,Processed foods
Munono (Cow blood beef cow fat),,50.3g,0.286g,ORGAN MEAT,BLOOD,Unprocessed/Minimally processed foods
Fresh blood and Fresh milk,,3.1g,0.148g,MILK DRINKS,FRESH MILK,Unprocessed/Minimally processed foods
Kimanga (Mashed Sweet Potato Black Beans),,0.5g,0.276g,ROOT VEGETABLES,SWEET POTATO,Processed foods
Kitojo (Sweet Potato Leaves),,12.7g,0.648g,VEGETABLES,SWEET POTATO LEAVES,Processed foods
Pigeon Peas Stew,,4.4g,0.281g,"PULSES - PEAS, LENTILS, BEANS",PIGEON PEAS,Processed foods
Nchenga Nzenga (Crushed Maize),,3.9g,0.552g,CEREAL GRAINS,MAIZE GRAIN,Unprocessed/Minimally processed foods
Mseto wa Viazi (Potatoes in Rice),,1.9g,0.131g,ROOT VEGETABLES,POTATO,Processed foods
Stewed Guinea Fowl,,9g,0.736g,POULTRY,GUINEA FOWL,Unprocessed/Minimally processed foods
Fried tilapia,,28.1g,0.149g,PROCESSED FISH,TILAPIA,Processed foods
Stewed Green Bananas,,3.8g,0.1g,FRUITS,GREEN BANANAS,Processed foods
Stir Fried Beef,,14.1g,0.682g,PROCESSED MEAT,BEEF,Processed foods
Stir Fried Goat Meat,,23.3g,0.221g,PROCESSED MEAT,GOAT,Processed foods
Finger Millet Ugali,,0.7g,0.003g,CEREAL GRAINS,UGALI,Processed foods
Omena Stew,,39.3g,0.09g,PROCESSED FISH,DAGAA/OMENA,Processed foods
Aluru (Stewed Quails),,14.2g,0.761g,POULTRY,QUAIL,Processed foods
Mashed Potatoes,,0.2g,0.33g,FAST FOODS,PRE-PREPARED BEEF,Processed foods
Mashed Bananas,,0.3g,0.348g,FRUITS,RIPE BANANAS,Unprocessed/Minimally processed foods
Enriched Mashed Potatoes,,6.2g,0.209g,FAST FOODS,PRE-PREPARED BEEF,Processed foods
Enriched Mashed Bananas,,7.8g,0.276g,FRUITS,RIPE BANANAS,Unprocessed/Minimally processed foods
Stewed Nile Perch,,6.3g,0.596g,PROCESSED FISH,NILE PERCH,Processed foods
Stewed Goat Meat,,14.6g,0.783g,PROCESSED MEAT,GOAT,Processed foods
Pan Fried Sweet Potatoes,,13.9g,0.016g,ROOT VEGETABLES,SWEET POTATO,Unprocessed/Minimally processed foods
Potato Chips,,13.6g,0.013g,SWEET AND SAVOURY SNACKS,POTATO CRISPS,Processed foods
Kimito (Mashed Beans Potatoes),,0.8g,0.359g,ROOT VEGETABLES,MUKIMO (MASHED MIX),Processed foods
Arrowroot Stew,,2.3g,0.25g,ROOT VEGETABLES,ARROWROOTS,Unprocessed/Minimally processed foods
Sweet Potatoes with Peanut Butter,,4.4g,0.13g,ROOT VEGETABLES,SWEET POTATO,Processed foods
Black Bean Stew,,1.3g,0.164g,"PULSES - PEAS, LENTILS, BEANS",BLACK BEANS (NJAHI),Processed foods
Bean Stew with Milk and Cream,,4.5g,0.273g,"PULSES - PEAS, LENTILS, BEANS",BEAN STEW,Processed foods
Rice with Milk,,5.7g,0.419g,BREAKFAST CEREALS,RICE FLAKE CEREALS,Processed foods
Pan Fried Arrowroots,,5.2g,0.616g,ROOT VEGETABLES,ARROWROOTS,Unprocessed/Minimally processed foods
Nyenyi (Mashed Pigeon Peas Green Maize),,2.3g,0.273g,CEREAL GRAINS,MAIZE GRAIN,Unprocessed/Minimally processed foods
Finger Millet and Sorghum Porridge,,2.2g,0.023g,BABY FOODS - PORRIDGE FLOUR,PORRIDGE FLOUR - SORGHUM,Processed foods
Mashed Pumpkin and Black Nightshade,,2.4g,0.411g,VEGETABLES,MANAGU (BLACK NIGHTSHADE),Processed foods
Enriched Matoke,,3.5g,0.22g,FRUITS,GREEN BANANAS,Processed foods
Oatmeal,,1.7g,0.209g,BREAKFAST CEREALS,OATS,Unprocessed/Minimally processed foods
Oat Porridge,,1.6g,0.014g,BREAKFAST CEREALS,OATS,Unprocessed/Minimally processed foods
Enriched Mandazi,,16.1g,0.08g,PASTRIES,PASTRIES - MANDAZI,Processed foods
Basic Mandazi,,12.9g,0.241g,PASTRIES,PASTRIES - MANDAZI,Processed foods
Stewed Split Dal,,1.9g,0.459g,"PULSES - PEAS, LENTILS, BEANS",LENTILS,Processed foods
Potato Curry,,7g,0.537g,ROOT VEGETABLES,POTATO,Processed foods
Peas and Brinjal Curry,,8.5g,0.52g,VEGETABLES,EGGPLANTS,Processed foods
Steamed Rice,,0.3g,0.521g,CEREAL GRAINS,WHITE RICE,Unprocessed/Minimally processed foods
Rotli (Indian Chapati),,16.7g,0.354g,BREADS,PRE-PREPARED CHAPATI,Processed foods
Potato Bhajia,,31g,0.587g,ROOT VEGETABLES,POTATO,Processed foods
Chaas (Diluted Yoghurt),,2.2g,0.262g,FLAVOURED FERMENTED MILK,YOGURT (PLAIN),Processed foods
Siro (Semolina Nuts),,26.1g,0.024g,WHEAT FLOUR,SEMOLINA,Unprocessed/Minimally processed foods
Minced Meat Balls,,5.4g,0.321g,PROCESSED MEAT,BEEF MINCE,Processed foods
Wheat Flour Porridge,,3.9g,0.003g,WHEAT FLOUR,WHEAT FLOUR - ATTA,Unprocessed/Minimally processed foods
Okra Meat Dish,,5.1g,0.559g,PROCESSED MEAT,BEEF,Processed foods
Hydrabadi Biryani,,8.3g,0.457g,CEREAL GRAINS,WHITE RICE,Processed foods
Chick Peas Curry,,5.1g,0.426g,"PULSES - PEAS, LENTILS, BEANS",CHICKPEAS,Processed foods
Bhature (Fried Indian Bread),,18.5g,0.518g,BREADS,FRIED BREADS,Processed foods
Pumpkins with Peanut Butter,,5.5g,0.196g,VEGETABLES,PUMPKIN,Processed foods
Boiled beans,,2.3g,0.355g,"PULSES - PEAS, LENTILS, BEANS",BEAN STEW,Processed foods
